Internship in socio-cultural animation at a hospital
Internship in civil engineering at a university
Final Year Project in risk management
Workshop:  civil engineering with a hotel
Final Year Project in risk management
Professional Mission:  technical translation within a primary school
Professional Simulation:  technical translation in a training center
Practical Assignment:  special education for a university
Professional Simulation:  academic research in an organic farm
Workshop:  business law with a primary school
Professional Mission:  civil engineering within a local SME
Professional Simulation:  analytical chemistry in an organic farm
Workshop:  renewable energy with a hospital center
Internship in IT project management at a museum
Professional Simulation:  e-commerce in a hospital center
Tutored Project:  agronomy in a hotel
Practical Assignment:  human resources for a primary school
Internship in civil engineering at a startup
Workshop:  clinical psychology with an organic farm
Case Study:  special education for a hospital
Practical Assignment:  accounting and finance for a research laboratory
Case Study:  special education for an NGO
Tutored Project:  interior architecture in a consulting firm
Individual Project:  molecular biology for a consulting firm
Professional Mission:  corporate communication within a law firm
Internship in industrial robotics at a primary school
Collaborative Project:  socio-cultural animation with an organic farm
Professional Mission:  IT project management within a research laboratory
Practical Assignment:  graphic design for a primary school
Internship in renewable energy at a multinational corporation
Individual Project:  civil engineering for a non-profit organization
Individual Project:  clinical psychology for a museum
Tutored Project:  academic research in a local SME
Professional Mission:  digital marketing within a construction company
Tutored Project:  renewable energy in a primary school
Final Year Project in renewable energy
Final Year Project in socio-cultural animation
Final Year Project in logistics and supply chain
Individual Project:  accounting and finance for a non-profit organization
Practical Assignment:  investigative journalism for an organic farm
Professional Simulation:  agronomy in a consulting firm
Practical Assignment:  accounting and finance for an NGO
Workshop:  clinical psychology with a construction company
Professional Simulation:  logistics and supply chain in a law firm
Internship in socio-cultural animation at a museum
Final Year Project in investigative journalism
Case Study:  technical translation for a hospital
Final Year Project in industrial robotics
Collaborative Project:  renewable energy with a non-profit organization
Tutored Project:  industrial robotics in a local SME
Case Study:  sustainable tourism for an NGO
Professional Mission:  analytical chemistry within a local SME
Tutored Project:  investigative journalism in a university
Internship in business law at a consulting firm
Collaborative Project:  IT project management with an online media
Practical Assignment:  molecular biology for a non-profit organization
Case Study:  analytical chemistry for a museum
Practical Assignment:  industrial robotics for a research laboratory
Collaborative Project:  human resources with a local government
Individual Project:  logistics and supply chain for a construction company
Internship in e-commerce at a museum
Workshop:  accounting and finance with an online media
Tutored Project:  clinical psychology in a law firm
Final Year Project in investigative journalism
Professional Simulation:  corporate communication in a hospital
Practical Assignment:  digital marketing for a local SME
Individual Project:  special education for an organic farm
Workshop:  academic research with an online media
Practical Assignment:  corporate communication for a hotel
Practical Assignment:  special education for a local SME
Final Year Project in civil engineering
Tutored Project:  technical translation in a primary school
Collaborative Project:  industrial robotics with a hospital center
Final Year Project in clinical psychology
Collaborative Project:  logistics and supply chain with a university
Practical Assignment:  digital marketing for a hospital
Case Study:  risk management for a research laboratory
Professional Simulation:  sustainable tourism in a primary school
Tutored Project:  analytical chemistry in a consulting firm
Case Study:  public health for an NGO
Professional Mission:  accounting and finance within a communication agency
Practical Assignment:  risk management for a non-profit organization
Workshop:  molecular biology with a hospital
Practical Assignment:  clinical psychology for a training center
Final Year Project in analytical chemistry
Workshop:  e-commerce with a hotel
Final Year Project in sustainable tourism
Collaborative Project:  digital marketing with a local SME
Professional Mission:  sustainable tourism within an online media
Workshop:  analytical chemistry with a law firm
Internship in civil engineering at a hospital
Final Year Project in accounting and finance
Professional Mission:  corporate communication within a construction company
Professional Simulation:  graphic design in a training center
Individual Project:  IT project management for a consulting firm
Practical Assignment:  academic research for a consulting firm
Internship in public health at a consulting firm
Final Year Project in technical translation
Final Year Project in graphic design
Collaborative Project:  agronomy with a law firm
Collaborative Project:  academic research with a hospital
Practical Assignment:  socio-cultural animation for a hospital
Practical Assignment:  corporate communication for a non-profit organization
Professional Simulation:  accounting and finance in a construction company
Collaborative Project:  socio-cultural animation with a museum
Final Year Project in accounting and finance
Final Year Project in clinical psychology
Individual Project:  business law for a communication agency
Professional Simulation:  software development in a research laboratory
Professional Simulation:  sustainable tourism in a hospital center
Professional Simulation:  digital marketing in a local government
Individual Project:  analytical chemistry for a primary school
Tutored Project:  public health in an organic farm
Workshop:  special education with a primary school
Professional Mission:  renewable energy within a hotel
Individual Project:  business law for an online media
Internship in molecular biology at a communication agency
Individual Project:  industrial robotics for a startup
Individual Project:  clinical psychology for a museum
Workshop:  interior architecture with a museum
Tutored Project:  clinical psychology in a hospital center
Tutored Project:  analytical chemistry in a hotel
Internship in software development at an organic farm
Individual Project:  interior architecture for a primary school
Professional Mission:  special education within a museum
Workshop:  software development with a hospital
Final Year Project in business law
Final Year Project in special education
Practical Assignment:  corporate communication for a local SME
Individual Project:  special education for a hospital
Tutored Project:  business law in an online media
Tutored Project:  IT project management in a training center
Tutored Project:  public health in a training center
Professional Simulation:  public health in a law firm
Collaborative Project:  human resources with an organic farm
Collaborative Project:  IT project management with a primary school
Professional Mission:  socio-cultural animation within a hospital
Practical Assignment:  corporate communication for a hotel
Professional Mission:  socio-cultural animation within a communication agency
Final Year Project in accounting and finance
Collaborative Project:  digital marketing with a construction company
Tutored Project:  accounting and finance in a hospital
Internship in analytical chemistry at a university
Professional Mission:  business law within a primary school
Tutored Project:  logistics and supply chain in an organic farm
Internship in human resources at a hospital
Practical Assignment:  analytical chemistry for a hospital center
Case Study:  accounting and finance for a communication agency
Case Study:  IT project management for a law firm
Professional Mission:  molecular biology within an NGO
Final Year Project in special education
Internship in sustainable tourism at a research laboratory
Individual Project:  agronomy for a construction company
Individual Project:  agronomy for a startup
Professional Simulation:  technical translation in a law firm
Professional Mission:  interior architecture within a non-profit organization
Final Year Project in accounting and finance
Final Year Project in agronomy
Final Year Project in industrial robotics
Final Year Project in human resources
Workshop:  agronomy with a research laboratory
Practical Assignment:  e-commerce for a university
Practical Assignment:  civil engineering for a museum
Collaborative Project:  special education with a hotel
Professional Mission:  risk management within a research laboratory
Internship in accounting and finance at a primary school
Workshop:  renewable energy with a research laboratory
Case Study:  digital marketing for a primary school
Professional Simulation:  logistics and supply chain in a hotel
Individual Project:  accounting and finance for a law firm
Internship in analytical chemistry at a local government
Internship in investigative journalism at an NGO
Professional Mission:  digital marketing within a university
Workshop:  interior architecture with an online media
Professional Simulation:  corporate communication in a university
Professional Simulation:  interior architecture in a research laboratory
Collaborative Project:  technical translation with a communication agency
Internship in renewable energy at a research laboratory
Collaborative Project:  investigative journalism with a local government
Practical Assignment:  technical translation for a university
Case Study:  business law for a consulting firm
Tutored Project:  molecular biology in a consulting firm
Tutored Project:  analytical chemistry in an NGO
Professional Mission:  human resources within a consulting firm
Individual Project:  industrial robotics for a hospital
Collaborative Project:  sustainable tourism with a hotel
Individual Project:  public health for an organic farm
Workshop:  socio-cultural animation with a university
Tutored Project:  IT project management in a hospital
Case Study:  graphic design for a non-profit organization
Internship in analytical chemistry at a museum
Collaborative Project:  investigative journalism with a research laboratory
Internship in corporate communication at a local government
Internship in interior architecture at a law firm
Tutored Project:  molecular biology in a research laboratory
Professional Mission:  sustainable tourism within a university
Practical Assignment:  civil engineering for a communication agency
Internship in clinical psychology at a law firm
Professional Mission:  graphic design within a research laboratory
Professional Mission:  academic research within a law firm
Workshop:  public health with a university
Tutored Project:  molecular biology in a training center
Practical Assignment:  industrial robotics for a construction company
Final Year Project in renewable energy
Workshop:  human resources with a training center
Final Year Project in analytical chemistry
Tutored Project:  interior architecture in an online media
Professional Mission:  clinical psychology within a primary school
Tutored Project:  interior architecture in an organic farm
Tutored Project:  analytical chemistry in a communication agency
Case Study:  academic research for a hospital center
Internship in academic research at a communication agency
Professional Mission:  industrial robotics within a primary school
Tutored Project:  special education in an organic farm
Individual Project:  sustainable tourism for a training center
Practical Assignment:  industrial robotics for a hotel
Internship in interior architecture at a communication agency
Individual Project:  public health for an online media
Workshop:  interior architecture with an organic farm
Internship in sustainable tourism at a hotel
Final Year Project in agronomy
Professional Simulation:  interior architecture in a primary school
Internship in molecular biology at a research laboratory
Workshop:  investigative journalism with an NGO
Individual Project:  e-commerce for a hospital
Workshop:  human resources with a multinational corporation
Workshop:  renewable energy with a primary school
Final Year Project in risk management
Case Study:  graphic design for a multinational corporation
Tutored Project:  logistics and supply chain in a research laboratory
Workshop:  special education with an organic farm
Tutored Project:  e-commerce in a hotel
Individual Project:  renewable energy for a hospital
Individual Project:  special education for a local government
Professional Simulation:  risk management in a hospital
Practical Assignment:  agronomy for an online media
Internship in sustainable tourism at a research laboratory
Professional Simulation:  interior architecture in a law firm
Tutored Project:  accounting and finance in a construction company
Professional Simulation:  socio-cultural animation in a multinational corporation
Workshop:  IT project management with a hospital center
Final Year Project in investigative journalism
Practical Assignment:  logistics and supply chain for an NGO
Practical Assignment:  logistics and supply chain for a startup
Final Year Project in civil engineering
Internship in human resources at a law firm
Tutored Project:  molecular biology in a hospital center
Collaborative Project:  industrial robotics with a museum
Professional Mission:  industrial robotics within a startup
Case Study:  investigative journalism for a hospital center
Professional Mission:  special education within a research laboratory
Case Study:  academic research for a local government
Case Study:  e-commerce for a multinational corporation
Individual Project:  academic research for a hospital center
Internship in digital marketing at a hospital
Professional Mission:  accounting and finance within a communication agency
Case Study:  public health for a construction company
Final Year Project in industrial robotics
Tutored Project:  risk management in a multinational corporation
Final Year Project in renewable energy
Final Year Project in agronomy
Case Study:  e-commerce for a multinational corporation
Practical Assignment:  renewable energy for a communication agency
Final Year Project in graphic design
Workshop:  public health with a hospital center
Tutored Project:  software development in a local government
Collaborative Project:  civil engineering with a non-profit organization
Professional Simulation:  risk management in an NGO
Final Year Project in corporate communication
Final Year Project in IT project management
Professional Mission:  digital marketing within a multinational corporation
Case Study:  sustainable tourism for a construction company
Internship in sustainable tourism at an NGO
Tutored Project:  special education in a primary school
Individual Project:  academic research for a non-profit organization
Internship in software development at a hotel
Collaborative Project:  human resources with a hospital
Workshop:  interior architecture with a research laboratory
Final Year Project in e-commerce
Workshop:  industrial robotics with a research laboratory
Tutored Project:  logistics and supply chain in an online media
Practical Assignment:  technical translation for a multinational corporation
Tutored Project:  agronomy in an NGO
Tutored Project:  sustainable tourism in a hospital
Internship in clinical psychology at an NGO
Professional Mission:  socio-cultural animation within a hospital center
Workshop:  interior architecture with a consulting firm
Collaborative Project:  technical translation with a hospital center
Internship in logistics and supply chain at an NGO
Professional Mission:  clinical psychology within a museum
Case Study:  accounting and finance for a training center
Practical Assignment:  molecular biology for a consulting firm
Tutored Project:  civil engineering in a training center
Professional Simulation:  socio-cultural animation in an online media
Practical Assignment:  industrial robotics for an online media
Final Year Project in clinical psychology
Final Year Project in academic research
Professional Mission:  special education within a multinational corporation
Case Study:  special education for a consulting firm
Individual Project:  business law for a construction company
Professional Mission:  graphic design within a local government
Individual Project:  special education for a law firm
Professional Mission:  analytical chemistry within a construction company
Practical Assignment:  interior architecture for a hospital
Final Year Project in agronomy
Professional Simulation:  clinical psychology in a hospital center
Practical Assignment:  sustainable tourism for a communication agency
Collaborative Project:  socio-cultural animation with a primary school
Case Study:  digital marketing for a local SME
Practical Assignment:  special education for a primary school
Individual Project:  academic research for an online media
Tutored Project:  digital marketing in an organic farm
Professional Mission:  software development within a museum
Professional Mission:  public health within a university
Individual Project:  academic research for a multinational corporation
Professional Mission:  socio-cultural animation within a university
Professional Mission:  human resources within a training center
Professional Mission:  technical translation within a hotel
Workshop:  corporate communication with a multinational corporation
Final Year Project in accounting and finance
Workshop:  clinical psychology with a local SME
Workshop:  renewable energy with a non-profit organization
Practical Assignment:  molecular biology for a law firm
Case Study:  business law for a non-profit organization
Practical Assignment:  software development for a hospital
Practical Assignment:  clinical psychology for a hotel
Collaborative Project:  corporate communication with a university
Final Year Project in logistics and supply chain
Professional Mission:  public health within a communication agency
Final Year Project in industrial robotics
Professional Simulation:  digital marketing in an organic farm
Tutored Project:  special education in a hotel
Professional Mission:  corporate communication within a training center
Professional Mission:  clinical psychology within a consulting firm
Tutored Project:  business law in a hospital center
Case Study:  business law for a hospital center
Professional Simulation:  clinical psychology in a local SME
Case Study:  IT project management for a museum
Tutored Project:  human resources in a university
Workshop:  corporate communication with a museum
Practical Assignment:  public health for a local SME
Professional Simulation:  logistics and supply chain in a multinational corporation
Tutored Project:  graphic design in a hospital center
Workshop:  corporate communication with a museum
