Rapport de stage - Physique,Je me suis aidé de l'IA pour résumer un texte.,"Travail fait en retard, à améliorer."
Mémoire - Philo,J'ai utilisé l'IA pour reformuler mes idées.,À discuter avec le professeur.
Présentation,L'IA m'a aidé à clarifier certains concepts.,À discuter avec le professeur.
Présentation - Info,L'IA m'a aidé à corriger mes fautes d'orthographe.,Travail fait rapidement.
Projet,J'ai utilisé l'IA pour reformuler mes idées.,À discuter avec le professeur.
Présentation,J'ai demandé à l'IA de générer un plan.,Pas totalement satisfait du rendu.
Projet,L'IA m'a donné des exemples concrets.,À revoir pour la prochaine fois.
Analyse,L'IA m'a aidé à clarifier certains concepts.,"Travail fait en retard, à améliorer."
Rendu du 26 April 2024,L'IA m'a permis de mieux structurer mes phrases.,Travail fait rapidement.
Compte rendu,Je me suis aidé de l'IA pour résumer un texte.,Pas totalement satisfait du rendu.
Exposé 16,L'IA m'a aidé à clarifier certains concepts.,J'ai appris beaucoup en le faisant.
Projet - Info,J'ai demandé à l'IA de générer un plan.,J'ai eu du mal à comprendre certaines consignes.
Mémoire,J'ai utilisé l'IA pour reformuler mes idées.,"Premier essai, pas encore au point."
Synthèse,L'IA m'a donné des exemples concrets.,Je pense que je peux faire mieux.
Projet - Eco,J'ai utilisé l'IA pour vérifier la grammaire.,Je pense que je peux faire mieux.
Synthèse,L'IA m'a permis de mieux structurer mes phrases.,À revoir pour la prochaine fois.
Compte rendu - Philo,L'IA m'a aidé à corriger mes fautes d'orthographe.,Je pense que je peux faire mieux.
Projet - Eco,L'IA m'a aidé à clarifier certains concepts.,"Premier essai, pas encore au point."
Rapport de stage,J'ai demandé à l'IA de générer un plan.,J'ai eu du mal à comprendre certaines consignes.
Rendu du 11 March 2025,L'IA a généré un premier jet que j'ai retravaillé.,"Premier essai, pas encore au point."
Présentation,Je me suis aidé de l'IA pour résumer un texte.,À discuter avec le professeur.
Analyse,J'ai utilisé l'IA pour reformuler mes idées.,"Travail fait en retard, à améliorer."
Projet 22,L'IA m'a donné des exemples concrets.,"Travail fait en retard, à améliorer."
Présentation 33,L'IA m'a permis de mieux structurer mes phrases.,J'ai passé beaucoup de temps dessus.
Projet,J'ai utilisé l'IA pour vérifier la grammaire.,J'ai passé beaucoup de temps dessus.
Dissertation - Physique,Je me suis aidé de l'IA pour résumer un texte.,Travail fait rapidement.
Rendu du 17 May 2025,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,J'ai passé beaucoup de temps dessus.
Rendu du 03 June 2025,L'IA a généré un premier jet que j'ai retravaillé.,J'ai appris beaucoup en le faisant.
Analyse 17,L'IA a généré un premier jet que j'ai retravaillé.,"Premier essai, pas encore au point."
Exposé,J'ai utilisé l'IA pour reformuler mes idées.,J'ai appris beaucoup en le faisant.
Analyse - Info,J'ai utilisé l'IA pour reformuler mes idées.,J'ai eu du mal à comprendre certaines consignes.
Rapport de stage,Je me suis aidé de l'IA pour résumer un texte.,J'ai appris beaucoup en le faisant.
Projet 47,J'ai demandé à l'IA de générer un plan.,À revoir pour la prochaine fois.
Analyse,J'ai utilisé l'IA pour reformuler mes idées.,"Travail fait en retard, à améliorer."
Projet - Physique,J'ai utilisé l'IA pour reformuler mes idées.,J'ai appris beaucoup en le faisant.
Rendu du 10 October 2022,Je me suis aidé de l'IA pour résumer un texte.,"Travail fait en retard, à améliorer."
Rapport de stage - Physique,L'IA m'a donné des exemples concrets.,J'ai passé beaucoup de temps dessus.
Présentation - Eco,J'ai demandé à l'IA de générer un plan.,"Travail fait en retard, à améliorer."
Rapport de stage - Info,L'IA m'a aidé à clarifier certains concepts.,À discuter avec le professeur.
Présentation,L'IA m'a permis de mieux structurer mes phrases.,"Premier essai, pas encore au point."
Exposé 41,L'IA m'a donné des exemples concrets.,J'ai passé beaucoup de temps dessus.
Exposé,J'ai utilisé l'IA pour reformuler mes idées.,À revoir pour la prochaine fois.
Présentation 16,L'IA m'a aidé à corriger mes fautes d'orthographe.,Travail fait rapidement.
Dissertation 24,L'IA m'a permis de mieux structurer mes phrases.,Pas totalement satisfait du rendu.
Présentation - Philo,J'ai utilisé l'IA pour reformuler mes idées.,À discuter avec le professeur.
Rendu du 16 March 2022,J'ai utilisé l'IA pour reformuler mes idées.,Pas totalement satisfait du rendu.
Présentation - Math,J'ai utilisé l'IA pour reformuler mes idées.,À discuter avec le professeur.
Compte rendu - Philo,J'ai utilisé l'IA pour reformuler mes idées.,"Premier essai, pas encore au point."
Exposé - Math,L'IA m'a aidé à corriger mes fautes d'orthographe.,À discuter avec le professeur.
Projet - Philo,L'IA m'a aidé à corriger mes fautes d'orthographe.,J'ai appris beaucoup en le faisant.
Rendu du 13 August 2025,J'ai utilisé l'IA pour reformuler mes idées.,Travail fait rapidement.
Exposé - Philo,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,"Premier essai, pas encore au point."
Projet 42,L'IA m'a aidé à corriger mes fautes d'orthographe.,J'ai appris beaucoup en le faisant.
Synthèse 7,L'IA m'a aidé à corriger mes fautes d'orthographe.,J'ai passé beaucoup de temps dessus.
Compte rendu - Eco,L'IA m'a permis de mieux structurer mes phrases.,"Premier essai, pas encore au point."
Présentation,J'ai demandé à l'IA de générer un plan.,J'ai appris beaucoup en le faisant.
Dissertation - Math,L'IA m'a permis de mieux structurer mes phrases.,Pas totalement satisfait du rendu.
Analyse,L'IA m'a permis de mieux structurer mes phrases.,"Travail fait en retard, à améliorer."
Dissertation 9,L'IA m'a aidé à corriger mes fautes d'orthographe.,Je pense que je peux faire mieux.
Exposé 31,L'IA m'a aidé à corriger mes fautes d'orthographe.,J'ai appris beaucoup en le faisant.
Mémoire,J'ai demandé à l'IA de générer un plan.,J'ai passé beaucoup de temps dessus.
Analyse 39,L'IA m'a donné des exemples concrets.,"Travail fait en retard, à améliorer."
Présentation - Philo,J'ai utilisé l'IA pour vérifier la grammaire.,À discuter avec le professeur.
Dissertation 44,L'IA m'a donné des exemples concrets.,Travail fait rapidement.
Dissertation - Math,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,À discuter avec le professeur.
Synthèse - Philo,J'ai utilisé l'IA pour reformuler mes idées.,J'ai passé beaucoup de temps dessus.
Rendu du 14 August 2024,J'ai utilisé l'IA pour reformuler mes idées.,Je pense que je peux faire mieux.
Compte rendu - Physique,L'IA m'a aidé à corriger mes fautes d'orthographe.,"Travail fait en retard, à améliorer."
Rendu du 10 October 2023,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,Pas totalement satisfait du rendu.
Exposé - Eco,L'IA m'a aidé à clarifier certains concepts.,Travail fait rapidement.
Dissertation - Math,L'IA m'a aidé à corriger mes fautes d'orthographe.,Travail fait rapidement.
Mémoire,L'IA m'a donné des exemples concrets.,Travail fait rapidement.
Mémoire 44,L'IA m'a donné des exemples concrets.,À revoir pour la prochaine fois.
Mémoire,Je me suis aidé de l'IA pour résumer un texte.,"Premier essai, pas encore au point."
Dissertation,L'IA m'a permis de mieux structurer mes phrases.,Travail fait rapidement.
Synthèse,J'ai utilisé l'IA pour vérifier la grammaire.,J'ai passé beaucoup de temps dessus.
Dissertation - Physique,Je me suis aidé de l'IA pour résumer un texte.,"Travail fait en retard, à améliorer."
Compte rendu 4,Je me suis aidé de l'IA pour résumer un texte.,Pas totalement satisfait du rendu.
Dissertation - Physique,J'ai utilisé l'IA pour reformuler mes idées.,J'ai eu du mal à comprendre certaines consignes.
Analyse 9,L'IA m'a donné des exemples concrets.,À revoir pour la prochaine fois.
Rapport de stage,J'ai utilisé l'IA pour reformuler mes idées.,J'ai eu du mal à comprendre certaines consignes.
Rapport de stage - Eco,Je me suis aidé de l'IA pour résumer un texte.,Pas totalement satisfait du rendu.
Exposé - Physique,L'IA m'a permis de mieux structurer mes phrases.,Travail fait rapidement.
Projet,L'IA m'a donné des exemples concrets.,À revoir pour la prochaine fois.
Compte rendu,J'ai utilisé l'IA pour reformuler mes idées.,Je pense que je peux faire mieux.
Synthèse 12,J'ai demandé à l'IA de générer un plan.,Je pense que je peux faire mieux.
Mémoire,L'IA m'a aidé à clarifier certains concepts.,Je pense que je peux faire mieux.
Analyse,J'ai utilisé l'IA pour vérifier la grammaire.,J'ai eu du mal à comprendre certaines consignes.
Projet - Physique,L'IA m'a donné des exemples concrets.,Travail fait rapidement.
Analyse,L'IA m'a aidé à corriger mes fautes d'orthographe.,J'ai passé beaucoup de temps dessus.
Présentation 20,L'IA m'a aidé à clarifier certains concepts.,Pas totalement satisfait du rendu.
Analyse 14,L'IA m'a aidé à corriger mes fautes d'orthographe.,À revoir pour la prochaine fois.
Dissertation - Info,L'IA m'a aidé à corriger mes fautes d'orthographe.,J'ai passé beaucoup de temps dessus.
Compte rendu - Math,L'IA m'a aidé à clarifier certains concepts.,À revoir pour la prochaine fois.
Analyse - Eco,J'ai demandé à l'IA de générer un plan.,J'ai passé beaucoup de temps dessus.
Projet 41,Je me suis aidé de l'IA pour résumer un texte.,Travail fait rapidement.
Dissertation - Math,L'IA m'a aidé à corriger mes fautes d'orthographe.,Je pense que je peux faire mieux.
Rendu du 26 September 2022,J'ai demandé à l'IA de générer un plan.,Travail fait rapidement.
Rapport de stage 38,L'IA m'a aidé à corriger mes fautes d'orthographe.,"Premier essai, pas encore au point."
Analyse,J'ai demandé à l'IA de générer un plan.,J'ai appris beaucoup en le faisant.
Exposé - Info,L'IA m'a permis de mieux structurer mes phrases.,À revoir pour la prochaine fois.
Exposé,L'IA m'a permis de mieux structurer mes phrases.,Je pense que je peux faire mieux.
Rapport de stage - Info,Je me suis aidé de l'IA pour résumer un texte.,"Travail fait en retard, à améliorer."
Analyse - Eco,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,À discuter avec le professeur.
Compte rendu - Info,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,J'ai passé beaucoup de temps dessus.
Rendu du 30 May 2022,J'ai utilisé l'IA pour vérifier la grammaire.,"Travail fait en retard, à améliorer."
Compte rendu,L'IA m'a donné des exemples concrets.,À discuter avec le professeur.
Synthèse - Info,L'IA m'a donné des exemples concrets.,"Premier essai, pas encore au point."
Exposé 13,J'ai demandé à l'IA de générer un plan.,À discuter avec le professeur.
Rapport de stage 43,L'IA m'a donné des exemples concrets.,À discuter avec le professeur.
Synthèse,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,J'ai eu du mal à comprendre certaines consignes.
Rapport de stage - Physique,L'IA m'a permis de mieux structurer mes phrases.,À discuter avec le professeur.
Présentation 30,J'ai utilisé l'IA pour reformuler mes idées.,Je pense que je peux faire mieux.
Analyse 12,L'IA a généré un premier jet que j'ai retravaillé.,"Premier essai, pas encore au point."
Dissertation 7,J'ai utilisé l'IA pour vérifier la grammaire.,À revoir pour la prochaine fois.
Dissertation,L'IA m'a donné des exemples concrets.,J'ai appris beaucoup en le faisant.
Compte rendu - Physique,L'IA m'a donné des exemples concrets.,J'ai appris beaucoup en le faisant.
Analyse,J'ai demandé à l'IA de générer un plan.,J'ai appris beaucoup en le faisant.
Exposé,L'IA a généré un premier jet que j'ai retravaillé.,"Travail fait en retard, à améliorer."
Synthèse - Philo,L'IA m'a donné des exemples concrets.,"Travail fait en retard, à améliorer."
Synthèse 36,L'IA m'a aidé à clarifier certains concepts.,J'ai eu du mal à comprendre certaines consignes.
Exposé,L'IA m'a donné des exemples concrets.,Je pense que je peux faire mieux.
Rapport de stage - Math,J'ai utilisé l'IA pour reformuler mes idées.,À revoir pour la prochaine fois.
Projet - Math,L'IA m'a aidé à clarifier certains concepts.,À revoir pour la prochaine fois.
Présentation 27,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,J'ai appris beaucoup en le faisant.
Rapport de stage 17,J'ai demandé à l'IA de générer un plan.,À revoir pour la prochaine fois.
Analyse,J'ai utilisé l'IA pour reformuler mes idées.,À revoir pour la prochaine fois.
Projet,J'ai utilisé l'IA pour vérifier la grammaire.,Travail fait rapidement.
Analyse - Info,J'ai utilisé l'IA pour reformuler mes idées.,Je pense que je peux faire mieux.
Rendu du 14 November 2025,L'IA a généré un premier jet que j'ai retravaillé.,J'ai appris beaucoup en le faisant.
Synthèse - Info,L'IA a généré un premier jet que j'ai retravaillé.,"Travail fait en retard, à améliorer."
Projet,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,Je pense que je peux faire mieux.
Analyse - Philo,L'IA m'a aidé à clarifier certains concepts.,Pas totalement satisfait du rendu.
Rapport de stage 41,L'IA a généré un premier jet que j'ai retravaillé.,J'ai eu du mal à comprendre certaines consignes.
Compte rendu,L'IA m'a aidé à clarifier certains concepts.,J'ai eu du mal à comprendre certaines consignes.
Rendu du 25 January 2025,L'IA m'a aidé à corriger mes fautes d'orthographe.,À discuter avec le professeur.
Synthèse,J'ai utilisé l'IA pour vérifier la grammaire.,Travail fait rapidement.
Rapport de stage 45,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,"Travail fait en retard, à améliorer."
Synthèse,L'IA m'a aidé à clarifier certains concepts.,Je pense que je peux faire mieux.
Dissertation - Math,J'ai utilisé l'IA pour vérifier la grammaire.,J'ai passé beaucoup de temps dessus.
Exposé,Je me suis aidé de l'IA pour résumer un texte.,À discuter avec le professeur.
Synthèse - Math,Je me suis aidé de l'IA pour résumer un texte.,À revoir pour la prochaine fois.
Rapport de stage 46,J'ai utilisé l'IA pour reformuler mes idées.,À discuter avec le professeur.
Rendu du 08 October 2023,L'IA a généré un premier jet que j'ai retravaillé.,Travail fait rapidement.
Projet 35,J'ai utilisé l'IA pour vérifier la grammaire.,Travail fait rapidement.
Synthèse,L'IA m'a donné des exemples concrets.,J'ai appris beaucoup en le faisant.
Dissertation,J'ai utilisé l'IA pour reformuler mes idées.,À discuter avec le professeur.
Rendu du 11 January 2024,L'IA m'a donné des exemples concrets.,À revoir pour la prochaine fois.
Synthèse,J'ai utilisé l'IA pour vérifier la grammaire.,J'ai appris beaucoup en le faisant.
Rendu du 17 October 2022,L'IA m'a aidé à corriger mes fautes d'orthographe.,À revoir pour la prochaine fois.
Mémoire - Info,L'IA a généré un premier jet que j'ai retravaillé.,J'ai appris beaucoup en le faisant.
Compte rendu 26,J'ai utilisé l'IA pour vérifier la grammaire.,"Premier essai, pas encore au point."
Analyse - Math,L'IA a généré un premier jet que j'ai retravaillé.,J'ai passé beaucoup de temps dessus.
Mémoire 6,J'ai utilisé l'IA pour vérifier la grammaire.,"Travail fait en retard, à améliorer."
Synthèse,J'ai demandé à l'IA de générer un plan.,"Travail fait en retard, à améliorer."
Rapport de stage 24,L'IA m'a aidé à clarifier certains concepts.,À revoir pour la prochaine fois.
Compte rendu,J'ai utilisé l'IA pour reformuler mes idées.,À discuter avec le professeur.
Projet 37,L'IA m'a permis de mieux structurer mes phrases.,"Travail fait en retard, à améliorer."
Analyse - Eco,L'IA m'a permis de mieux structurer mes phrases.,"Premier essai, pas encore au point."
Analyse,J'ai demandé à l'IA de générer un plan.,Pas totalement satisfait du rendu.
Projet,L'IA m'a permis de mieux structurer mes phrases.,J'ai eu du mal à comprendre certaines consignes.
Rapport de stage - Info,L'IA m'a aidé à clarifier certains concepts.,Travail fait rapidement.
Synthèse,L'IA m'a aidé à clarifier certains concepts.,"Premier essai, pas encore au point."
Rapport de stage 45,L'IA m'a donné des exemples concrets.,J'ai eu du mal à comprendre certaines consignes.
Rendu du 01 July 2022,L'IA m'a permis de mieux structurer mes phrases.,J'ai appris beaucoup en le faisant.
Projet,L'IA m'a aidé à corriger mes fautes d'orthographe.,Travail fait rapidement.
Rendu du 14 April 2022,L'IA m'a aidé à clarifier certains concepts.,Pas totalement satisfait du rendu.
Synthèse 18,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,"Premier essai, pas encore au point."
Analyse,L'IA m'a aidé à corriger mes fautes d'orthographe.,J'ai passé beaucoup de temps dessus.
Mémoire 22,L'IA m'a permis de mieux structurer mes phrases.,J'ai eu du mal à comprendre certaines consignes.
Exposé 43,L'IA m'a aidé à clarifier certains concepts.,Pas totalement satisfait du rendu.
Exposé 14,J'ai utilisé l'IA pour vérifier la grammaire.,Je pense que je peux faire mieux.
Mémoire,L'IA m'a aidé à corriger mes fautes d'orthographe.,J'ai appris beaucoup en le faisant.
Rapport de stage 30,J'ai utilisé l'IA pour reformuler mes idées.,À discuter avec le professeur.
Exposé - Philo,L'IA a généré un premier jet que j'ai retravaillé.,J'ai eu du mal à comprendre certaines consignes.
Dissertation 35,L'IA m'a aidé à clarifier certains concepts.,Travail fait rapidement.
Rapport de stage,L'IA m'a aidé à clarifier certains concepts.,J'ai appris beaucoup en le faisant.
Dissertation - Math,J'ai utilisé l'IA pour reformuler mes idées.,Travail fait rapidement.
Synthèse,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,"Premier essai, pas encore au point."
Exposé - Eco,J'ai utilisé l'IA pour vérifier la grammaire.,"Premier essai, pas encore au point."
Mémoire,L'IA m'a permis de mieux structurer mes phrases.,Travail fait rapidement.
Rapport de stage - Info,L'IA m'a permis de mieux structurer mes phrases.,Pas totalement satisfait du rendu.
Compte rendu 16,J'ai demandé à l'IA de générer un plan.,Travail fait rapidement.
Rapport de stage,Je me suis aidé de l'IA pour résumer un texte.,Pas totalement satisfait du rendu.
Synthèse - Info,L'IA a généré un premier jet que j'ai retravaillé.,J'ai eu du mal à comprendre certaines consignes.
Présentation,Je me suis aidé de l'IA pour résumer un texte.,Je pense que je peux faire mieux.
Projet 1,L'IA a généré un premier jet que j'ai retravaillé.,Pas totalement satisfait du rendu.
Analyse 10,J'ai demandé à l'IA de générer un plan.,Travail fait rapidement.
Synthèse - Info,J'ai utilisé l'IA pour reformuler mes idées.,J'ai eu du mal à comprendre certaines consignes.
Analyse - Physique,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,J'ai passé beaucoup de temps dessus.
Rapport de stage 11,L'IA m'a aidé à corriger mes fautes d'orthographe.,Je pense que je peux faire mieux.
Projet 46,L'IA a généré un premier jet que j'ai retravaillé.,Je pense que je peux faire mieux.
Mémoire 13,L'IA m'a aidé à corriger mes fautes d'orthographe.,Pas totalement satisfait du rendu.
Exposé,L'IA a généré un premier jet que j'ai retravaillé.,Travail fait rapidement.
Projet 34,J'ai demandé à l'IA de générer un plan.,J'ai eu du mal à comprendre certaines consignes.
Présentation 29,J'ai utilisé l'IA pour vérifier la grammaire.,J'ai eu du mal à comprendre certaines consignes.
Exposé - Info,L'IA m'a aidé à clarifier certains concepts.,Je pense que je peux faire mieux.
Projet - Physique,J'ai utilisé l'IA pour vérifier la grammaire.,Je pense que je peux faire mieux.
Compte rendu 43,Je me suis aidé de l'IA pour résumer un texte.,"Premier essai, pas encore au point."
Projet,J'ai utilisé l'IA pour vérifier la grammaire.,"Travail fait en retard, à améliorer."
Dissertation,L'IA m'a donné des exemples concrets.,"Premier essai, pas encore au point."
Projet - Info,L'IA m'a permis de mieux structurer mes phrases.,À revoir pour la prochaine fois.
Analyse 27,J'ai utilisé l'IA pour reformuler mes idées.,Je pense que je peux faire mieux.
Exposé 19,Je me suis aidé de l'IA pour résumer un texte.,À revoir pour la prochaine fois.
Rapport de stage,J'ai utilisé l'IA pour reformuler mes idées.,Travail fait rapidement.
Exposé,J'ai utilisé l'IA pour reformuler mes idées.,J'ai appris beaucoup en le faisant.
Compte rendu,L'IA m'a donné des exemples concrets.,Pas totalement satisfait du rendu.
Rapport de stage 30,L'IA m'a donné des exemples concrets.,Je pense que je peux faire mieux.
Exposé,J'ai utilisé l'IA pour vérifier la grammaire.,"Premier essai, pas encore au point."
Rendu du 15 March 2025,L'IA m'a aidé à clarifier certains concepts.,Travail fait rapidement.
Rapport de stage - Info,L'IA a généré un premier jet que j'ai retravaillé.,"Travail fait en retard, à améliorer."
Rendu du 27 May 2025,L'IA m'a aidé à corriger mes fautes d'orthographe.,J'ai passé beaucoup de temps dessus.
Exposé,L'IA m'a permis de mieux structurer mes phrases.,Travail fait rapidement.
Dissertation 9,L'IA m'a aidé à corriger mes fautes d'orthographe.,À revoir pour la prochaine fois.
Présentation,L'IA m'a permis de mieux structurer mes phrases.,"Travail fait en retard, à améliorer."
Dissertation,J'ai demandé à l'IA de générer un plan.,À discuter avec le professeur.
Synthèse - Math,J'ai demandé à l'IA de générer un plan.,Travail fait rapidement.
Mémoire,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,"Travail fait en retard, à améliorer."
Analyse,J'ai demandé à l'IA de générer un plan.,À revoir pour la prochaine fois.
Rapport de stage,L'IA m'a aidé à clarifier certains concepts.,J'ai eu du mal à comprendre certaines consignes.
Mémoire 28,J'ai utilisé l'IA pour reformuler mes idées.,J'ai passé beaucoup de temps dessus.
Rapport de stage,J'ai utilisé l'IA pour vérifier la grammaire.,J'ai eu du mal à comprendre certaines consignes.
Synthèse - Philo,J'ai utilisé l'IA pour vérifier la grammaire.,Je pense que je peux faire mieux.
Rapport de stage 40,L'IA m'a permis de mieux structurer mes phrases.,Travail fait rapidement.
Rendu du 08 June 2022,L'IA m'a aidé à clarifier certains concepts.,J'ai appris beaucoup en le faisant.
Exposé 28,Je me suis aidé de l'IA pour résumer un texte.,Je pense que je peux faire mieux.
Rendu du 20 April 2025,J'ai utilisé l'IA pour reformuler mes idées.,J'ai eu du mal à comprendre certaines consignes.
Analyse 28,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,À discuter avec le professeur.
Rapport de stage 23,J'ai demandé à l'IA de générer un plan.,"Premier essai, pas encore au point."
Présentation 6,L'IA m'a aidé à clarifier certains concepts.,Pas totalement satisfait du rendu.
Compte rendu - Info,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,"Premier essai, pas encore au point."
Rapport de stage - Physique,J'ai utilisé l'IA pour vérifier la grammaire.,Pas totalement satisfait du rendu.
Compte rendu - Info,J'ai utilisé l'IA pour vérifier la grammaire.,Je pense que je peux faire mieux.
Analyse 30,L'IA a généré un premier jet que j'ai retravaillé.,À revoir pour la prochaine fois.
Analyse 44,J'ai utilisé l'IA pour vérifier la grammaire.,J'ai passé beaucoup de temps dessus.
Rendu du 02 January 2024,L'IA a généré un premier jet que j'ai retravaillé.,J'ai appris beaucoup en le faisant.
Mémoire,L'IA m'a aidé à corriger mes fautes d'orthographe.,J'ai appris beaucoup en le faisant.
Compte rendu 30,J'ai utilisé l'IA pour vérifier la grammaire.,Je pense que je peux faire mieux.
Dissertation,L'IA m'a aidé à corriger mes fautes d'orthographe.,J'ai eu du mal à comprendre certaines consignes.
Rapport de stage 30,J'ai utilisé l'IA pour reformuler mes idées.,À revoir pour la prochaine fois.
Projet - Eco,J'ai utilisé l'IA pour reformuler mes idées.,Je pense que je peux faire mieux.
Rendu du 30 August 2025,J'ai demandé à l'IA de générer un plan.,J'ai passé beaucoup de temps dessus.
Rendu du 09 September 2024,L'IA m'a aidé à corriger mes fautes d'orthographe.,À discuter avec le professeur.
Analyse - Eco,L'IA m'a aidé à corriger mes fautes d'orthographe.,Je pense que je peux faire mieux.
Exposé,L'IA m'a permis de mieux structurer mes phrases.,J'ai passé beaucoup de temps dessus.
Mémoire - Math,J'ai demandé à l'IA de générer un plan.,Pas totalement satisfait du rendu.
Rendu du 08 August 2022,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,À revoir pour la prochaine fois.
Rendu du 08 June 2023,Je me suis aidé de l'IA pour résumer un texte.,J'ai passé beaucoup de temps dessus.
Présentation 12,J'ai demandé à l'IA de générer un plan.,À revoir pour la prochaine fois.
Présentation 50,J'ai utilisé l'IA pour vérifier la grammaire.,Travail fait rapidement.
Analyse 8,J'ai demandé à l'IA de générer un plan.,Travail fait rapidement.
Compte rendu 24,L'IA m'a aidé à clarifier certains concepts.,Je pense que je peux faire mieux.
Mémoire,L'IA m'a aidé à corriger mes fautes d'orthographe.,Pas totalement satisfait du rendu.
Synthèse 18,L'IA a généré un premier jet que j'ai retravaillé.,J'ai appris beaucoup en le faisant.
Mémoire,J'ai demandé à l'IA de générer un plan.,Je pense que je peux faire mieux.
Analyse,L'IA a généré un premier jet que j'ai retravaillé.,J'ai appris beaucoup en le faisant.
Projet,L'IA a généré un premier jet que j'ai retravaillé.,J'ai eu du mal à comprendre certaines consignes.
Projet,L'IA m'a permis de mieux structurer mes phrases.,Travail fait rapidement.
Synthèse 1,J'ai utilisé l'IA pour vérifier la grammaire.,J'ai eu du mal à comprendre certaines consignes.
Rendu du 23 May 2025,J'ai utilisé l'IA pour vérifier la grammaire.,Je pense que je peux faire mieux.
Dissertation 43,J'ai utilisé l'IA pour vérifier la grammaire.,À discuter avec le professeur.
Analyse - Math,J'ai utilisé l'IA pour reformuler mes idées.,Je pense que je peux faire mieux.
Compte rendu 9,J'ai utilisé l'IA pour reformuler mes idées.,J'ai eu du mal à comprendre certaines consignes.
Rapport de stage 6,J'ai utilisé l'IA pour vérifier la grammaire.,J'ai appris beaucoup en le faisant.
Exposé 48,L'IA m'a donné des exemples concrets.,"Travail fait en retard, à améliorer."
Dissertation,J'ai demandé à l'IA des synonymes pour enrichir mon vocabulaire.,À discuter avec le professeur.
Mémoire - Philo,Je me suis aidé de l'IA pour résumer un texte.,"Premier essai, pas encore au point."
